Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-04-24,1599.0,1610.0,1589.0,1542.8520188528805,1606.5,6463200,6752,1564.1,1571.179414666259,1569.0041164639006,104.25048669695003,1609.765742083091,1518.4342579169088,-3.716213526409547,1.1153418906457975,56.90325732516109,95.14563106796116,91.60207603995421,1542.8520188528805,
2018-04-25,1591.0,1610.0,1585.5,1553.5956958364197,1604.5,6804200,6752,1571.0,1577.2377040884978,1572.5547689149325,104.49365027678282,1618.1232426727986,1523.8767573272014,-4.608563980012832,-0.15635878336375855,56.41144464711194,94.91803278688525,93.34340634626432,1553.5956958364197,
2018-04-26,1609.0,1620.0,1602.5,1562.6203845025925,1617.0,7187800,6752,1580.45,1584.4672135878916,1577.0004911307733,106.20689655172413,1622.508173997447,1538.391826002553,-5.6477346968472375,-1.299568858161365,58.80775338828656,96.3076923076923,95.45711872084627,1562.6203845025925,
2018-04-27,1624.0,1633.0,1618.5,1572.9487152921258,1632.0,6956000,6752,1587.55,1593.1095395166853,1582.5017774518974,104.5483664317745,1637.3384524764485,1537.7615475235514,-6.869701521330171,-2.4129316915853503,61.5401504336651,97.15994020926756,96.12855510128173,1572.9487152921258,
2018-05-01,1620.5,1622.0,1595.0,1584.9589722337007,1614.5,6278500,6752,1593.2,1596.9987145648197,1585.7022989390412,103.62644415917843,1641.0794319097422,1545.320568090258,-6.677816671402297,-3.4077302282298914,56.8058796891715,93.7062937062937,95.72464207441789,1584.9589722337007,
2018-05-02,1616.0,1619.0,1600.5,1594.5671777869607,1605.0,3808700,6752,1598.4,1598.4534938618024,1587.632448564765,103.34835801674178,1638.3194188334407,1558.4805811665594,-5.903994988856766,-4.12756057220612,54.361028434696586,87.17948717948718,92.68190703168284,1594.5671777869607,
2018-05-07,1569.5,1592.0,1566.0,1633.0,1590.5,6100700,6752,1599.9,1597.0074039654996,1587.9192544627065,100.95207870517295,1637.3133665953717,1562.4866334046285,-4.529287761898331,-4.605776045738569,50.76940878946151,74.57142857142857,85.15240315240317,,1633.0
2018-05-08,1590.5,1604.5,1588.5,1592.0,1596.5,5406300,6752,1602.8,1596.9151486936562,1588.777465701947,101.8500797448166,1633.63569360335,1571.9643063966498,-3.7362761689482795,-4.864697672865557,52.177412111536725,65.97774244833067,75.90955273308215,,1592.0
2018-05-09,1580.0,1588.0,1543.5,1591.48,1556.0,10618000,6752,1600.25,1589.4760303938,1585.499249228532,98.38760670249764,1640.4923905850494,1560.0076094149506,-1.2152801959184671,-4.76720772351377,43.19675341340953,44.38502673796791,61.64473258590906,,1591.48
2018-05-10,1550.5,1568.0,1548.0,1588.0,1562.0,4903400,6752,1598.45,1584.4803883086624,1583.1490211097816,98.8607594936709,1643.4798789694096,1553.4201210305905,0.25171132395144014,-4.3263271845847715,44.71490326306236,30.89887640449438,47.087215196931005,,1588.0
